order_id,delay_days
b9978fd04acfedd507165e3f7ec97b05,29
5e6bf1bf3a918bd776e4e85f10672d65,29
6966b21d5a0ca10f795dc14508c1b7bf,29
93b9173d182af83f59074baf05d8c13e,29
9c0776f3465b8aba3e47b9eb0f034360,29
a72fc5669df669ab2c501cd323698fac,29
7b9969738a7e690d13867eedd1fef01a,29
0c047dd1c8c2fcc61365b5787d59fd6c,28
942e1205a3ca6fd0147718ac16f4bb54,28
3bf64404e90aaf774854f9d82327af00,28
e16532416e7fa0b226f67cb0a05696c2,28
564db6e83379512127bc60da803b4a36,28
6dedf40fe422e8f0ae38641d2ed11f22,28
67df019d84e04f3b626f8ede2dce4517,28
c70e94e95cae9b1a4ad2510d55a521e3,28
67c03c278fad216ed9ab5573e8cc551e,28
09ce65f75711be9f04a63700ae3c5adc,28
983d1042c129f87546062d2d27f73020,28
68cf1c197f0444a28730011879182f7a,28
0afcd5d6405dd1fbe9554f4ffa99d2b8,28
c124ca6c2e3c84647f8694c95abec68b,28
03ea231452f07988edc699573fb971d7,28
fc3830b4f000e216dc581df9a0e873e2,28
2d5f1dc93c565d00ce25e43b11b48596,28
fb8705064d6146e5fdc372b0fc2bf60a,28
fad130916dfec1c29b876fae7113f4df,28
cc0ef7be3ac8e4f2887c5ea6dc590e41,28
38c2b634e9399138e8c5e726ddfe765d,28
0e5d9583490deb1e011b1c8e7da13398,28
e3a456432c2847da83a3cfb4fa72d9db,28
2e6d9b2e86ecc0efd34ab46632ef4448,28
71e297393a1e63537a76e338c10dbff8,28
acd7029e70d5e80091c71c9be6643758,28
fa8d60735eb7db0f4659893592e3fec0,28
3b786bf128186200f49a2d025c9148f4,28
1b0816f005179796807a9b23f4c2df11,28
abd3f51d3ea91685824a0975e07ab463,28
134383561b50fa8eca9c19b2c792d74c,28
109b43dc12d67a5107cbbfb7fe98d0ae,28
3c22fe6868c666f6a4edc2c5456c26aa,28
a11f86f65cf0246aa8d08f7a6b60973d,28
ba1c50f3276668478a6d911c6a085a3d,28
cbec497198427d28e8c84e2ccaffb6e3,28
e8aae0a8c069453ead56360bfdf31d76,28
edc39c747837ab7258f382372e798824,28
bdc6d13db4338777a27724c65a0248c6,28
b02983703060845dbc7fe979ceaf2c3b,28
57c8b21903ac8ad8de52488bbb4ada7b,28
cc7a01248e3779979631ce8dea5c8292,28
30d6ee4a4d29531562ae9ca6c0635d61,28
72aae4d8091260674fd5abd94479abc3,28
6bf14ce96e0c6026fe21f80a498bb446,28
8ab08a832f16966f270a9bbffe395cfa,28
b73c273d02a8045c60df03ae7c03dc4b,28
45b0a671da62d1c868294b22b4837dca,27
a0bba9f8b36a29b7ee6af6df702b309d,27
